Luiza;7;2025-06-18;18:06:44
j;3;2025-06-18;18:12:03
luizo;1;2025-06-18;18:15:08
tujhrtujh;1;18/06/2025;00:00:09
jkhj;8;18/06/2025;00:00:13
gh;1;18/06/2025;00:00:10
A;1;18/06/2025;00:00:09
B;0;18/06/2025;00:00:07
C;6;18/06/2025;00:00:13
D;1;18/06/2025;00:00:09
E;1;18/06/2025;00:00:09
F;1;18/06/2025;00:00:11
F;0;18/06/2025;00:00:07
F;0;18/06/2025;00:00:10
G;2;18/06/2025;00:00:08
H;1;18/06/2025;00:00:07
I;0;18/06/2025;00:00:12
J;1;18/06/2025;00:00:09
K;5;18/06/2025;00:00:13
L;1;18/06/2025;00:00:08
Luiza;2;18/06/2025;00:00:11
Jackson;1;18/06/2025;00:00:11
Fran;1;18/06/2025;00:00:10
Julia;3;18/06/2025;00:00:20
Maria;7;18/06/2025;00:00:19
Joana;4;18/06/2025;00:00:14
jk;2;18/06/2025;00:00:11
kujky;4;18/06/2025;00:00:14
k;1;18/06/2025;00:00:10
hrfdehbedfr;3;18/06/2025;00:00:11
fhdd;2;18/06/2025;00:00:14
trh;1;18/06/2025;00:00:07
vini;0;18/06/2025;00:00:08
njf;0;18/06/2025;00:00:07
jngf;1;18/06/2025;00:00:10
m;0;18/06/2025;00:00:08
yheryh;3;18/06/2025;00:00:11
j;3;18/06/2025;00:00:12
d;0;18/06/2025;00:00:10
Luiza;7;18/06/2025;00:00:19
jhg;10;18/06/2025;00:00:18
g;17;18/06/2025;00:00:34
g;4;18/06/2025;00:00:14
